,product,price,quantity,date,region,sales
0,pink morsel,3,526,13-10-2020,north,1578.0
1,pink morsel,3,546,13-10-2020,south,1638.0
2,pink morsel,3,505,13-10-2020,east,1515.0
3,pink morsel,3,561,13-10-2020,west,1683.0
28,pink morsel,3,560,14-10-2020,north,1680.0
29,pink morsel,3,585,14-10-2020,south,1755.0
30,pink morsel,3,528,14-10-2020,east,1584.0
31,pink morsel,3,530,14-10-2020,west,1590.0
56,pink morsel,3,506,15-10-2020,north,1518.0
57,pink morsel,3,567,15-10-2020,south,1701.0
58,pink morsel,3,572,15-10-2020,east,1716.0
59,pink morsel,3,521,15-10-2020,west,1563.0
84,pink morsel,3,546,16-10-2020,north,1638.0
85,pink morsel,3,563,16-10-2020,south,1689.0
86,pink morsel,3,505,16-10-2020,east,1515.0
87,pink morsel,3,544,16-10-2020,west,1632.0
112,pink morsel,3,503,17-10-2020,north,1509.0
113,pink morsel,3,597,17-10-2020,south,1791.0
114,pink morsel,3,503,17-10-2020,east,1509.0
115,pink morsel,3,592,17-10-2020,west,1776.0
140,pink morsel,3,508,18-10-2020,north,1524.0
141,pink morsel,3,572,18-10-2020,south,1716.0
142,pink morsel,3,526,18-10-2020,east,1578.0
143,pink morsel,3,571,18-10-2020,west,1713.0
168,pink morsel,3,552,19-10-2020,north,1656.0
169,pink morsel,3,575,19-10-2020,south,1725.0
170,pink morsel,3,518,19-10-2020,east,1554.0
171,pink morsel,3,508,19-10-2020,west,1524.0
196,pink morsel,3,523,20-10-2020,north,1569.0
197,pink morsel,3,586,20-10-2020,south,1758.0
198,pink morsel,3,586,20-10-2020,east,1758.0
199,pink morsel,3,538,20-10-2020,west,1614.0
224,pink morsel,3,580,21-10-2020,north,1740.0
225,pink morsel,3,507,21-10-2020,south,1521.0
226,pink morsel,3,574,21-10-2020,east,1722.0
227,pink morsel,3,535,21-10-2020,west,1605.0
252,pink morsel,3,583,22-10-2020,north,1749.0
253,pink morsel,3,546,22-10-2020,south,1638.0
254,pink morsel,3,570,22-10-2020,east,1710.0
255,pink morsel,3,556,22-10-2020,west,1668.0
280,pink morsel,3,545,23-10-2020,north,1635.0
281,pink morsel,3,511,23-10-2020,south,1533.0
282,pink morsel,3,545,23-10-2020,east,1635.0
283,pink morsel,3,525,23-10-2020,west,1575.0
308,pink morsel,3,579,24-10-2020,north,1737.0
309,pink morsel,3,531,24-10-2020,south,1593.0
310,pink morsel,3,569,24-10-2020,east,1707.0
311,pink morsel,3,512,24-10-2020,west,1536.0
336,pink morsel,3,563,25-10-2020,north,1689.0
337,pink morsel,3,560,25-10-2020,south,1680.0
338,pink morsel,3,535,25-10-2020,east,1605.0
339,pink morsel,3,539,25-10-2020,west,1617.0
364,pink morsel,3,582,26-10-2020,north,1746.0
365,pink morsel,3,506,26-10-2020,south,1518.0
366,pink morsel,3,552,26-10-2020,east,1656.0
367,pink morsel,3,514,26-10-2020,west,1542.0
392,pink morsel,3,527,27-10-2020,north,1581.0
393,pink morsel,3,572,27-10-2020,south,1716.0
394,pink morsel,3,561,27-10-2020,east,1683.0
395,pink morsel,3,506,27-10-2020,west,1518.0
420,pink morsel,3,582,28-10-2020,north,1746.0
421,pink morsel,3,529,28-10-2020,south,1587.0
422,pink morsel,3,548,28-10-2020,east,1644.0
423,pink morsel,3,577,28-10-2020,west,1731.0
448,pink morsel,3,590,29-10-2020,north,1770.0
449,pink morsel,3,564,29-10-2020,south,1692.0
450,pink morsel,3,519,29-10-2020,east,1557.0
451,pink morsel,3,508,29-10-2020,west,1524.0
476,pink morsel,3,591,30-10-2020,north,1773.0
477,pink morsel,3,563,30-10-2020,south,1689.0
478,pink morsel,3,592,30-10-2020,east,1776.0
479,pink morsel,3,562,30-10-2020,west,1686.0
